Date/Time,Word Count,en,ru,ru-RU
2022.08.26-12.14.05,146,146,0,0
2022.08.26-12.33.41,153,153,0,131
2022.08.26-12.41.10,118,118,0,96
2022.08.26-12.43.26,118,118,0,116
2022.08.26-12.43.46,118,118,0,118
2022.08.26-12.51.38,114,114,0,114
2022.08.26-13.16.27,117,117,0,114
2022.08.26-13.17.02,117,117,0,117
2022.08.26-13.33.41,116,116,0,115
2022.08.26-13.35.30,110,110,0,110
2022.08.26-13.38.40,108,108,0,108
2022.08.28-21.20.06,182,182,0,101
2022.08.28-21.30.35,182,182,0,0
2022.08.28-21.48.19,182,182,1,0
2022.08.28-22.20.57,144,144,1,0
2022.08.28-22.37.18,144,144,12,0
2022.08.29-15.01.53,148,148,15,0
2022.08.29-15.06.58,144,144,15,0
2022.08.29-15.08.26,144,144,24,0
